tree_id;max_buds;treatment;date;open_buds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;62;2;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;50;2;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;128;2;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;113;2;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;39;2;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;102;2;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;37;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;40;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;185;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;50;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;75;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;75;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;82;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;79;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;108;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;59;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;147;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;61;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;92;3;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;89;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;68;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;117;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;145;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;74;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;152;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;78;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;115;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;81;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;59;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;77;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;120;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;114;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;151;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;98;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;149;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;196;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;51;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;125;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;82;;03.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;71;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;87;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;57;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;124;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;91;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;73;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;39;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;60;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;58;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;40;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;86;1;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;95;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;85;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;49;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;72;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;75;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;56;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;62;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;50;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;128;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;113;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;39;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;102;2;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;37;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;40;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;185;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;50;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;75;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;75;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;82;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;79;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;108;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;59;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;147;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;61;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;92;3;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;89;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;68;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;117;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;145;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
